pixel_id,lat,lon,error_var,coef,std_err,pvalue,n_obs
26.3_-97.7,26.299999999999855,-97.7000000000005,temp_error_0h,0.9334148384083799,0.3648144900599745,0.010526886248293676,8398
26.3_-97.7,26.299999999999855,-97.7000000000005,wspd_error_0h,1.1103278535946053,0.4687954582234011,0.01788446216436146,8398
26.3_-97.8,26.299999999999855,-97.8000000000005,temp_error_1h,-0.02541956136924177,0.35407933827463256,0.9427702869850378,8398
26.3_-97.8,26.299999999999855,-97.8000000000005,wspd_error_1h,1.4025131588738848,0.42821024011558056,0.0010598311357910006,8398
26.3_-97.8,26.299999999999855,-97.8000000000005,temp_error_0h,0.9698442874523444,0.3528217293483782,0.005993822948221483,8398
26.3_-97.8,26.299999999999855,-97.8000000000005,wspd_error_0h,0.8930404413666313,0.46732238820305205,0.0560422390809443,8398
26.3_-97.9,26.299999999999855,-97.90000000000049,temp_error_1h,-0.23377569602076947,0.35257609471449874,0.5073166100275657,8398
26.3_-97.9,26.299999999999855,-97.90000000000049,wspd_error_1h,1.3810792743950233,0.43550797788296525,0.0015236376216101188,8398
26.3_-97.9,26.299999999999855,-97.90000000000049,temp_error_0h,0.9250707072457682,0.3530292369042723,0.008799078486065426,8398
26.3_-97.9,26.299999999999855,-97.90000000000049,wspd_error_0h,0.6054407460341323,0.4764879154131281,0.20389500688388784,8398
26.3_-98.0,26.299999999999855,-98.00000000000048,temp_error_1h,-0.4909248063471441,0.35616094436479995,0.1681231718435543,8398
26.3_-98.0,26.299999999999855,-98.00000000000048,wspd_error_1h,1.5064206992368754,0.44236516360594547,0.0006638347323397742,8398
26.3_-98.0,26.299999999999855,-98.00000000000048,temp_error_0h,0.8427573981490423,0.3434191988605407,0.014147193538501357,8398
26.3_-98.0,26.299999999999855,-98.00000000000048,wspd_error_0h,0.31476420780372644,0.46549053155540093,0.4989330553084883,8398
26.3_-98.1,26.299999999999855,-98.10000000000048,temp_error_1h,-0.6156696534994688,0.3651819260425242,0.0918474140720793,8398
26.3_-98.1,26.299999999999855,-98.10000000000048,wspd_error_1h,1.5113056781706744,0.44530581353518667,0.0006923517819878988,8398
26.3_-98.1,26.299999999999855,-98.10000000000048,temp_error_0h,0.7277866208911914,0.34685794581007845,0.035915067585823524,8398
26.3_-98.1,26.299999999999855,-98.10000000000048,wspd_error_0h,0.3113250706721502,0.46943965838665186,0.5072307382821397,8398
26.3_-98.2,26.299999999999855,-98.20000000000047,temp_error_1h,-0.7367298217055612,0.3680548109374131,0.045350883034066314,8398
26.3_-98.2,26.299999999999855,-98.20000000000047,wspd_error_1h,1.7351177659270074,0.46772362486821667,0.00020884464180781492,8398
26.3_-98.2,26.299999999999855,-98.20000000000047,temp_error_0h,0.6892702594519527,0.3490774304158876,0.048352300133658765,8398
26.3_-98.2,26.299999999999855,-98.20000000000047,wspd_error_0h,0.4173331878530023,0.46053200018136486,0.3648571789011057,8398
26.3_-98.3,26.299999999999855,-98.30000000000047,temp_error_1h,-0.963564986730758,0.3750901675168352,0.010219715355499037,8398
26.3_-98.3,26.299999999999855,-98.30000000000047,wspd_error_1h,1.7093262230411246,0.43265418089988844,7.853419553849328e-05,8398
26.3_-98.3,26.299999999999855,-98.30000000000047,temp_error_0h,0.6883690482556972,0.3496568458252597,0.049020677364655096,8398
26.3_-98.3,26.299999999999855,-98.30000000000047,wspd_error_0h,0.5248409552953149,0.4519368052178786,0.24554702637601333,8398
26.3_-98.4,26.299999999999855,-98.40000000000046,temp_error_1h,-1.0419685984363252,0.3745473051394768,0.005415598813516054,8398
26.3_-98.4,26.299999999999855,-98.40000000000046,wspd_error_1h,1.6607783608042392,0.44122048159853205,0.00016832505677055742,8398
26.3_-98.4,26.299999999999855,-98.40000000000046,temp_error_0h,0.6926533912416281,0.35069024802671467,0.04828801741517563,8398
26.3_-98.4,26.299999999999855,-98.40000000000046,wspd_error_0h,0.5514238141900369,0.4468536486108879,0.2172322630835517,8398
26.3_-98.5,26.299999999999855,-98.50000000000045,temp_error_1h,-1.0026480500526058,0.3762026014963702,0.007709479460988211,8398
26.3_-98.5,26.299999999999855,-98.50000000000045,wspd_error_1h,1.54592506924652,0.4319151892285019,0.0003465578268559977,8398
26.3_-98.5,26.299999999999855,-98.50000000000045,temp_error_0h,0.7213162452748101,0.34886886162473063,0.038709716487164814,8398
26.3_-98.5,26.299999999999855,-98.50000000000045,wspd_error_0h,0.26525378570830066,0.4327390640490764,0.5399163399025442,8398
26.3_-98.6,26.299999999999855,-98.60000000000045,temp_error_1h,-0.9497251621334851,0.37366085297423585,0.011050119788301505,8398
26.3_-98.6,26.299999999999855,-98.60000000000045,wspd_error_1h,1.4289557135151558,0.44057858473059686,0.0011859217183058934,8398
26.3_-98.6,26.299999999999855,-98.60000000000045,temp_error_0h,0.7946889245852685,0.35270550975050974,0.024277213866650937,8398
26.3_-98.6,26.299999999999855,-98.60000000000045,wspd_error_0h,0.18052054722421096,0.4373057747473132,0.6797625306453852,8398
26.4_-97.5,26.399999999999856,-97.50000000000051,temp_error_1h,-0.29038686498716615,0.3565845562597147,0.41546409629975933,8398
26.4_-97.5,26.399999999999856,-97.50000000000051,wspd_error_1h,2.0298922704731353,0.40007043862474695,3.98267258505669e-07,8398
26.4_-97.5,26.399999999999856,-97.50000000000051,temp_error_0h,0.2955940074768678,0.3851563598231069,0.4428268078767561,8398
26.4_-97.5,26.399999999999856,-97.50000000000051,wspd_error_0h,2.0924613934266745,0.45599651427182697,4.52376744797256e-06,8398
26.4_-97.6,26.399999999999856,-97.6000000000005,temp_error_1h,-0.14875378161310485,0.36015502125487625,0.679597361394447,8398
26.4_-97.6,26.399999999999856,-97.6000000000005,wspd_error_1h,1.576090146483129,0.40073339048811846,8.456571957315973e-05,8398
26.4_-97.6,26.399999999999856,-97.6000000000005,temp_error_0h,0.6442358918038752,0.3838108245487045,0.09328213382219763,8398
26.4_-97.6,26.399999999999856,-97.6000000000005,wspd_error_0h,1.8396230264282296,0.47595282194106364,0.00011186737637758348,8398
26.4_-97.7,26.399999999999856,-97.7000000000005,temp_error_1h,-0.02087667281266444,0.3618307846743876,0.953991094321522,8398
